3.682065651330406942e-10,1.296421796178231091e-09,9.392028124254206622e-10,1.301620086852607327e-10,1.184139180402698483e-09,7.999026247688322884e-10,9.086483257842432633e-10,6.284066782069889327e-10,1.193650452457651049e-09,1.108566586120343364e-09,6.544577064646792443e-10,1.052299829133038662e-09,6.218996235701262640e-10,4.721123639207712772e-10,9.605800988487980970e-10,1.205782759192557197e-09,3.985519187306117400e-10,1.634293497529498984e-09,9.875042488672115774e-10,1.000000000000000000e-09
1.008912902036866991e-09,4.775774511896139678e-10,2.011849841812364919e-10,2.464932426146607402e-10,2.940501245481833217e-10,3.494253525609185219e-10,2.477359126775438799e-10,7.533259097089810864e-11,7.479322003016074214e-11,1.591191732773138737e-10,1.537772285185494580e-10,1.665152506070134080e-10,7.773903538805959625e-11,3.390351005260690739e-10,7.823091888193788331e-10,6.464612937210493587e-10,1.091464861104663841e-10,7.576381980141989048e-10,4.060883709808318600e-10,1.018625817567357377e-09
5.336937457601838211e-10,6.391578876009890769e-10,2.726209956100673866e-10,4.086279541962348066e-10,1.346608409248294154e-09,4.390853459592987535e-10,9.529532898368315949e-11,3.000766638414863445e-10,8.751477425792524291e-10,4.174365877988654795e-10,4.578205393501846470e-10,5.289900536911277018e-10,4.475171799087306717e-10,1.356414611794568891e-09,6.319527670379506076e-10,5.606712438883892520e-10,1.349689895635978814e-09,1.344718126794795511e-09,3.735714304561363351e-11,1.120000000000000000e-09
6.779944426769269457e-10,6.803197743723493249e-10,8.190139283104284666e-10,7.597266198481499671e-10,5.891376900583848295e-10,5.136856097522670559e-10,2.105870252345446602e-10,2.328387544779384813e-10,4.222929078413750328e-10,8.839331065454011114e-10,6.243572070744127023e-10,9.376448852374653833e-10,8.810600748727213868e-10,3.444206415118908345e-10,9.156040142743972907e-10,1.202247820247813455e-09,1.544321103245434073e-09,0.000000000000000000e+00,1.352114043461395799e-09,7.250111448301338028e-10
9.144244439033714886e-10,2.006361618654047242e-10,3.945009980190077338e-10,9.734731850266339458e-10,4.881624291754780150e-10,4.932266090663010203e-10,1.427164436983302281e-09,7.169106544250644763e-10,1.354348649444276454e-09,7.191493370567760920e-10,5.461276907870675257e-10,6.628279224673679056e-10,1.017286415949856424e-09,9.638480790316071086e-10,1.081320322326215230e-09,1.269375882995620800e-09,1.412456373761997844e-09,8.820422214830099864e-10,1.872825524075620966e-09,1.814676236391476260e-09
1.855621090290108520e-09,3.170132145049138181e-10,3.663581555410142905e-10,6.924928424358283110e-10,4.618819275349544975e-10,6.151195290480210114e-10,7.809112087047945564e-10,9.081038749416214872e-11,4.805159817932200261e-10,1.049630967445757054e-09,8.615823135192012337e-10,6.185513513051058375e-10,1.450042242077275863e-09,4.333285661063871662e-10,1.448896569918859583e-10,1.007865200036737443e-09,1.722997441436467083e-09,3.000824489432896065e-10,6.748103047262503493e-10,1.294923235168065470e-09
5.459120375314286839e-10,5.020192027394366343e-10,3.136160995339604419e-10,7.438700085260972002e-10,1.213212092073176620e-09,3.104649892204108926e-10,3.272429827404425843e-10,2.430368589677935656e-10,9.742358194536063940e-10,1.463564630670543425e-09,2.769439890456937392e-10,4.971854070146080184e-10,1.818614184031207224e-09,9.665813984390496112e-10,5.448089380598620766e-10,1.152267200684046654e-09,1.766739602679626901e-09,1.441854979212839207e-09,3.013736012703214854e-09,2.567595462798466727e-09
4.879609538044086034e-10,3.714093351413103117e-10,8.171737373891272275e-10,7.641757078063460281e-10,7.572191032637257063e-10,5.102341578197724807e-10,6.723456095666002133e-10,4.231043912806639583e-10,1.136781905202699559e-09,9.465657427586428103e-10,1.627909097123136904e-09,4.438697257297853726e-10,8.150967437909887679e-10,6.143506645049419348e-10,8.195635297043798343e-10,1.077903272380533839e-09,2.177837565233641515e-09,1.952739299352314070e-09,1.535482869164824812e-09,2.649895071500495995e-09
6.280133153057886832e-10,7.033209041103482323e-10,1.385563878586159774e-09,1.833555524717476301e-09,8.494887535885590417e-10,2.485143014711232749e-09,2.842401935677088756e-09,7.780997717475433697e-10,1.214896710732469299e-09,1.852052392802840632e-09,4.736352957240111927e-10,1.876180566658908198e-09,2.790514730304198867e-09,3.717110101334138754e-09,9.688853258374344570e-10,3.025672925492533175e-09,1.064065442042413345e-09,1.726769193990892236e-09,4.413067948398870029e-09,5.532850990018751814e-09
2.931938439543127147e-10,3.555333971984606125e-10,8.329844033350374525e-10,8.892082497634088021e-10,1.208529904721759865e-09,1.313133748741404941e-09,1.952939039158235721e-09,1.482594328287248509e-09,1.610340615308196323e-09,1.035392499083940743e-09,8.983610365325417643e-10,8.826837437883116458e-10,1.629714477656728279e-09,1.855280435043808108e-09,2.276756505994551042e-09,3.323458554485015438e-09,1.731846558274436464e-09,2.519923162900699208e-09,3.465280748230652069e-09,6.961920674106839836e-09
4.575438522021419825e-10,8.245882771402829041e-10,3.448242618078553491e-10,8.984962089866852629e-10,1.851914142644518240e-09,1.009640865870993750e-09,6.552370610359734454e-10,6.133821479010962679e-10,2.155524190334106799e-09,1.765286880220669836e-09,2.992358028406308137e-10,4.296717620664300449e-10,9.321541158788291088e-10,9.295539634873921405e-10,6.630771292431116291e-10,1.320285086045449714e-09,1.973695795880228845e-09,1.468637269684872565e-09,1.669671771112490002e-09,7.619034285861384391e-10
2.367251067984409186e-10,2.914431845196804139e-10,9.212318875013217459e-10,6.867868283941929389e-10,7.398326079871869456e-10,1.442269753708499613e-09,3.379537117090823660e-10,2.350384612952921634e-10,1.795108534252763298e-09,9.006231642791896174e-10,8.184907890471395680e-10,2.016601085809535216e-09,4.901384471888880518e-10,4.797564898937508047e-10,2.792143139094728332e-09,2.136418124082089847e-09,2.271913955402362782e-09,1.705768600920021051e-09,2.604207418066784744e-09,3.442756489607541354e-09
5.389616266957234290e-10,1.445388626703954566e-10,6.888174358686619157e-10,6.218025185626381524e-10,1.202250413250723261e-09,4.321247287418529438e-10,6.958018980082158818e-10,9.501458004081288224e-10,1.446328086273121703e-09,7.980410504130881978e-10,1.435296375122347952e-09,1.421139420665209981e-09,1.665208294094549114e-09,1.618516479169250047e-09,7.639399468092982684e-10,3.780730684360637863e-09,3.816284427799091659e-09,5.660035149750297679e-09,1.788807502305976452e-09,3.385590949739859951e-09
9.999212602024579608e-11,1.174615261107339036e-09,1.523912665063022421e-09,1.130506146390802611e-09,1.104614744793666121e-09,2.143614692123067206e-09,2.155175433137276971e-09,6.668507817500997175e-10,3.720032238402834256e-09,1.309971311488465418e-09,2.053567249918742662e-09,3.050836112764888031e-09,3.214824442714112144e-09,1.574630481413598973e-09,3.465039285508104252e-09,4.608770806563443081e-09,7.270407186706076654e-09,3.065870011859164243e-09,7.090831815024618887e-09,6.686810116157000049e-09
7.883705180512163246e-10,2.651291814214914787e-09,1.530391428354284350e-09,1.615578303773412040e-09,2.842462792363242545e-09,1.228451746363890188e-09,1.386441067314123852e-10,1.766212584831146258e-09,2.953958008913640157e-09,2.851669888900428463e-09,1.794232742596577971e-09,2.854182976972448855e-09,3.429975508723113377e-09,1.240784802449325645e-09,3.509819830210611818e-09,7.615982352497447200e-09,6.542319197094908560e-09,4.066664531508160581e-09,1.004018028484942985e-08,1.297838423797812065e-08
