-3.45910195086849,-2.8766414996185,-2.71481330248569,-3.00364839237273,-2.42230095562815,-2.25116890840159,-2.71544308526589,-2.16521003899435,-1.7736003232005,-1.86367853914558,-1.82174277730446
-3.46763747602086,-2.87793722274822,-3.36291374415965,-2.46347686100863,-2.56495475109458,-2.80700311844675,-2.62659532118299,-2.32789254134524,-2.04946882244856,-1.78320834548541,-1.49289820214032
-3.49881445869283,-3.01497114911471,-3.06076504856355,-3.1844995142957,-2.83387396244718,-2.61536376278825,-2.51017419103923,-2.4318480727041,-2.30031276258922,-2.07557062233353,-1.74930368532524
-3.5391153142659,-3.22283843796145,-2.79908013477659,-2.68588684072105,-2.54177597449713,-2.41090036658756,-2.43115169673692,-2.47943569532721,-2.18898833834095,-1.86100780179464,-1.71096169787874
-3.56542405103438,-3.41400370819215,-3.07146950905728,-2.97576090963046,-3.00110367806502,-2.64755648541652,-2.4069890116279,-2.48581959370311,-2.0996034904279,-2.06894578878066,-1.72278988522861
-3.58080877358401,-3.48602545121225,-3.36457944278348,-3.0275089617537,-2.66136789866007,-2.83865491994397,-2.44128395049842,-2.4911802278035,-2.18238055686153,-2.00556781883238,-1.82724336410036
-3.59549520199415,-3.44778256794432,-3.13848692108934,-2.86566245433564,-2.99656604611475,-2.68346045889056,-2.52229161109172,-2.50186189985753,-2.29781253080105,-2.03599052727199,-1.76681120107832
-3.60988380483058,-3.38501431874713,-3.0452954874469,-3.22120066647391,-2.82216388116149,-2.67626629440998,-2.62511635310082,-2.5075851840898,-2.3139565203939,-2.12465794222947,-1.88281225915068
-3.63433303649565,-3.36494569809491,-3.27609430005873,-2.94552236405829,-2.9631635489792,-2.87413922243124,-2.71740402204664,-2.51477714601909,-2.25996698384875,-2.06608436630335,-1.8445116160726
-3.67259886546404,-3.42919345251737,-3.4117978871139,-3.17725198942617,-2.97889802969817,-2.89274858565631,-2.77507090347948,-2.51900984199231,-2.27261734454475,-2.18822307484356,-1.89711194065819
-3.72435604616345,-3.53843049846625,-3.23596501880411,-3.14849315782588,-2.93845297784843,-2.78270041998182,-2.79709490043425,-2.5190771215787,-2.38430280418381,-2.15565378256792,-1.94087781946463
-3.80286752146279,-3.57800171668434,-3.24500075675534,-3.08974221870398,-3.11951518539089,-2.86460843802828,-2.78778110735181,-2.52555831118968,-2.43318024475118,-2.19869253465089,-1.91380648542599
-3.92949987979543,-3.4911526562413,-3.4269030441978,-3.31848705249087,-2.94718703394456,-3.02030947812852,-2.7609849850952,-2.54483335734401,-2.36740397001342,-2.24826150788564,-1.96745624815164
