5.658028601822852251e-09,5.037027210267275401e-09,5.588746757389774296e-09,5.617254791734108314e-09,5.710381054935934994e-09,5.769094395765270915e-09,6.951495136391174454e-09,6.949275865470867497e-09,6.311423081044249945e-09,6.961091751166414556e-09,6.872113499684319796e-09,6.971977968092728720e-09,6.895452105332264364e-09,6.658407231479071139e-09,6.781150746626718304e-09
6.984299201451338137e-09,6.401269875508573102e-09,5.843281021175099089e-09,6.448059853457910385e-09,7.899553202240335422e-09,7.859150814978668779e-09,7.781094076361292909e-09,7.534170412953733977e-09,9.437012703398959064e-09,8.595353296554027106e-09,7.955344447337966241e-09,9.137091660264306832e-09,8.959447669221222972e-09,1.001707118789997139e-08,8.162229199292595970e-09
6.743528835145819181e-09,7.107579427341874251e-09,7.245047700940486168e-09,6.802216207420273871e-09,8.485193652934589552e-09,9.020451197914464862e-09,9.880331461553509949e-09,1.131852030154838409e-08,1.124967707667326134e-08,1.342338597583841276e-08,1.097366766066228560e-08,1.126285661094417551e-08,1.334719635587793143e-08,1.129369918501118967e-08,1.157242727832473447e-08
8.468935651198912040e-09,8.612214533544602615e-09,8.658107092346962923e-09,1.008970908498069593e-08,1.157271082877084478e-08,1.095444737011267608e-08,1.150775022977158615e-08,1.454261014131164447e-08,1.458814597337597095e-08,1.284565478330419031e-08,1.891343092834748164e-08,1.758486245231639519e-08,1.904189230074037938e-08,2.080717286796537887e-08,2.118012469707853385e-08
9.311867216622652624e-09,9.459658449680229664e-09,9.652900184934796174e-09,1.165552137418120319e-08,1.144976303899506144e-08,1.570070249561650414e-08,1.933844002252116229e-08,2.390024310190463167e-08,2.345046444108839104e-08,1.879326053882084041e-08,2.525442926879312103e-08,2.495849908105316287e-08,2.508772018370071328e-08,3.318909755570777859e-08,3.064682180488751494e-08
1.122066967939722119e-08,1.317384178097375923e-08,1.320664381752655198e-08,1.661546326068795420e-08,1.828110923616169779e-08,2.014296234255844583e-08,2.592708113398706684e-08,4.029964163569848988e-08,2.983763505354967937e-08,3.996885748050930006e-08,5.216478162874505646e-08,6.992708614129227788e-08,7.265107225954250499e-08,7.311051761709625204e-08,6.654740054524383197e-08
1.610506893115248023e-08,1.162387603902050392e-08,2.022961267694486543e-08,2.950180156707007020e-08,3.065440845851015961e-08,4.611794463645797422e-08,5.058142457210122399e-08,7.537848852767281812e-08,7.359238148751586825e-08,1.120046145590395933e-07,1.002906011481368011e-07,1.170121759104464944e-07,1.345800398145258218e-07,1.463151901481431752e-07,1.543567851355089113e-07
1.847660492582903101e-08,2.460415034966935997e-08,3.137670984132442185e-08,3.984067479396728720e-08,5.427231245085571738e-08,6.304671879227138523e-08,9.659149014383233396e-08,1.180105966582420227e-07,1.291725355655805173e-07,1.609114692048682968e-07,1.431516036306164787e-07,1.611313493099476303e-07,1.800127743408003308e-07,2.282738297184594189e-07,2.468202644798810509e-07
2.041622961003016980e-08,2.937206216175314035e-08,3.725318312748441912e-08,6.557906486188629369e-08,6.489532926065314958e-08,1.084172902201870654e-07,1.501261744848660373e-07,1.190207119898025224e-07,2.102392593380548137e-07,2.203680747680963674e-07,2.001162410850699450e-07,2.104644853323466748e-07,2.449208054255206667e-07,3.078962872372463865e-07,3.882254254247225463e-07
3.999693072454668410e-08,3.447229245057895760e-08,7.640360251687075337e-08,9.619870205626186494e-08,1.991982012200936193e-07,2.063887754998184858e-07,3.535625282226630541e-07,2.062039975573993752e-07,5.305536489803931440e-07,6.482388402792165369e-07,4.029095808925957076e-07,2.897007014453139750e-07,9.764227619769707273e-07,5.239954120017276961e-07,5.706360532142498989e-07
