9.605227447307386065e-11,1.742861259279067889e-10,1.014556836808643275e-11,3.423000578028893913e-10,3.535721021500634218e-11,6.471449871854445526e-10,1.858115513752199822e-11,2.518945297715144262e-10,2.006308591005795736e-10,6.223879575092204879e-10,7.115768020922020381e-10,3.586295197570661410e-11,1.380270115201549511e-10,2.526989304331426393e-10,2.682194696382504436e-10
4.131398823386962014e-11,2.088112780455243778e-10,5.559689987278786112e-10,1.999732207049637008e-10,2.707746005211908572e-11,2.235201416292224801e-10,1.513274185870125521e-10,6.873593044179583925e-10,9.924658319412869625e-11,3.968137822580056171e-10,2.146490493856912009e-10,1.072767145546543054e-09,6.517064462363958576e-10,2.766117729956908520e-10,6.344864929028449061e-10
1.947865437915176848e-10,1.733530117027118644e-10,8.268244147706705504e-10,1.829625285086068044e-10,5.783749032737489955e-10,0.000000000000000000e+00,4.119184311235368298e-10,1.128443630000766690e-10,1.216359468158931747e-09,8.010779277145559784e-10,5.974555922087862923e-10,9.363542531608282312e-10,1.203365356272050795e-09,1.880133348158339475e-10,5.970505690557813717e-10
1.378500983008407672e-09,1.656673754747246181e-09,2.518567017134932439e-10,1.568137204536677923e-09,2.556344599909836179e-09,7.641520351071899518e-10,1.469818702238699804e-09,1.075760501526990475e-09,1.367337882246134323e-09,1.051452609042165556e-09,1.265389757630345173e-09,1.002474577485332562e-09,1.645415770153003667e-09,9.360672067498909834e-10,1.206359606966047592e-09
2.008204602415848364e-11,0.000000000000000000e+00,1.221556490594754592e-09,7.775097859948252143e-10,5.560123893009520661e-10,1.591652281049852673e-09,7.425705662391234182e-11,2.976726284786403574e-09,5.124736927187584056e-10,2.771981482634069137e-09,1.833071372487609891e-09,7.105952322094464167e-10,1.465145135944408847e-09,4.231671334445259573e-09,1.477205621829632566e-09
3.030110474436645479e-09,0.000000000000000000e+00,1.176763491446845819e-09,2.253757868143067727e-09,2.396533380612379134e-09,1.459765219297583734e-10,2.544997775054466446e-09,1.122231708167043830e-08,0.000000000000000000e+00,4.930819260244218200e-09,3.822276031353998766e-09,0.000000000000000000e+00,5.694298978761790940e-09,2.685241607633968621e-08,8.052363802021707241e-09
4.044037654994642375e-09,7.086071591375213789e-10,1.258673134241237320e-09,6.449629444885390918e-09,1.178725572518361835e-08,2.380383512591124374e-09,9.084823384777205259e-10,1.279483161022500356e-08,3.543591098699563408e-09,1.190010416272678746e-08,2.489716986530765213e-08,4.541423502687365982e-09,5.725059891188817570e-09,6.046682915703831345e-09,2.688697095541642843e-09
5.767863453889260384e-09,2.340112721964361445e-09,9.898897573707675734e-09,1.803485168217791533e-09,1.017087455877809138e-08,9.759164176932747745e-09,5.049764005158861172e-10,1.485536818735496236e-08,1.003479840930272508e-08,2.932176938107871206e-08,2.388453674369687433e-09,1.622791918204021369e-08,3.045381662891458836e-08,6.199255756064917455e-08,4.581275314864576430e-08
6.683521403067941058e-09,6.247849520382477997e-09,5.864508665711181969e-09,4.956745008471780274e-09,0.000000000000000000e+00,9.542853757775435244e-09,3.056527563133473772e-08,1.112903922099598388e-08,6.253693432239628896e-08,1.861570851719919710e-09,0.000000000000000000e+00,1.571738707716485899e-08,1.033067691016160072e-08,6.704085241202005647e-08,7.614553115272208363e-08
2.033280333812776801e-08,1.144176932682495944e-08,2.583135425756187944e-08,5.429367098897365032e-11,4.455937564686146530e-08,3.508985687061395967e-08,1.255709930928214514e-07,0.000000000000000000e+00,1.891783038502061070e-07,1.257110434821620474e-07,3.603547670177559562e-08,0.000000000000000000e+00,3.201581041797204669e-07,6.739520993459618860e-08,9.835733225978716073e-09
