3.321128740144144761e-09,3.142591705122852086e-09,2.697960260349714569e-09,2.485448125356311933e-09,2.494757854897695785e-09,2.661662069936020482e-09,2.857908660185165554e-09,2.854907516053291066e-09,2.588673848421525464e-09,2.584802053508454142e-09,2.711524431055706468e-09,2.778949963739097938e-09,2.663747641093535935e-09,2.595364424424164611e-09,2.919285553916462371e-09,2.807069098419020892e-09,2.844041320340126866e-09
2.826827288021761968e-09,3.457702959212492329e-09,3.132644034436634513e-09,3.059758222568894716e-09,2.869177762919006397e-09,3.033221637236176431e-09,2.864331001345466012e-09,3.244186475441098462e-09,2.660321198894822327e-09,2.791293178575608928e-09,2.666861879655873148e-09,3.316484611164994732e-09,3.195173414328258466e-09,2.688057699784278753e-09,2.588594895516757142e-09,2.449878503537148128e-09,3.262876287719016397e-09
4.076394026863232461e-09,4.074989271668358426e-09,2.898522198108699003e-09,3.141699442264778336e-09,3.469615067354672284e-09,3.800086889816470808e-09,3.335752786983535768e-09,3.512147728988458753e-09,3.458978163677838620e-09,3.642506621023724419e-09,3.389835783842490694e-09,3.919195885995267065e-09,3.338868144510556382e-09,3.793714594749638091e-09,3.701021029568019342e-09,3.141887236068959696e-09,4.659710105176987889e-09
3.838265881930621426e-09,3.687307993867949586e-09,3.978407191728777919e-09,3.440747031211212383e-09,3.877917336606418254e-09,4.370169213992650696e-09,4.523474679008404478e-09,4.009560542962281718e-09,3.960325913210683237e-09,3.837740238840271542e-09,4.521871757249662722e-09,3.925772777160228322e-09,4.785489615047192955e-09,3.839682402305600170e-09,4.260330979089402909e-09,4.818727984016184864e-09,4.659686238959292086e-09
4.777106215748748227e-09,4.120656942011669472e-09,4.243464850235610446e-09,5.260978404024657683e-09,4.236477851152520645e-09,5.145118243509417694e-09,5.729375660393722277e-09,5.421727844415747307e-09,4.983675928792038957e-09,5.682028884887445915e-09,5.986657331670119410e-09,5.836570236772358695e-09,5.728477691586072813e-09,5.509697969753114260e-09,5.522999629285896901e-09,5.968996336155365632e-09,6.452902868851538388e-09
5.086971951641906018e-09,6.305058552202100885e-09,5.566524132088470076e-09,6.467954738656706874e-09,6.227014704785241328e-09,6.144363527522283744e-09,7.036679438034199619e-09,7.544924881627906606e-09,6.971661116684360169e-09,6.075012974407333581e-09,8.117708708903499228e-09,7.056671132923837443e-09,7.396068330413774235e-09,6.889126985054178553e-09,7.918018919190665880e-09,8.711346208997191141e-09,7.431732359189589344e-09
5.516929641746923504e-09,4.856511230612781304e-09,4.797433352762665662e-09,5.250435557968366235e-09,5.158444918031556457e-09,4.996837910587302660e-09,5.032094917193074403e-09,5.937698318411945823e-09,6.564982361825075976e-09,6.657635172785078212e-09,6.835106041722545438e-09,6.929817863026933802e-09,6.600458923632116901e-09,7.539260236893452188e-09,8.035538180217110410e-09,6.962407689363276894e-09,7.381564918660483043e-09
6.178346062405245279e-09,6.691857655147332950e-09,6.929669369142968924e-09,6.507158865466557892e-09,6.708677935168869793e-09,6.942451068435089010e-09,7.492768437973015050e-09,8.069849980386965965e-09,7.700581332356112125e-09,9.258968003688972530e-09,7.374744466167408321e-09,9.080659444741434362e-09,8.492093586975008205e-09,9.925807527789067024e-09,1.014820513453056879e-08,1.109871388176374174e-08,1.054918405195790240e-08
7.108350273539090936e-09,8.211193234452415214e-09,8.260529320402427174e-09,7.812561535165918854e-09,8.947740074016043414e-09,1.014733873319945826e-08,8.459726147740823045e-09,1.115959729551161313e-08,1.099067598776235078e-08,1.055552579311491725e-08,1.427353988509019838e-08,1.219982173844755121e-08,1.375310937623104378e-08,1.245299429329844629e-08,1.404661255555308983e-08,1.566502373225274246e-08,1.592717306924545613e-08
9.665593925448297488e-09,9.259175021814097675e-09,1.040261632031795039e-08,1.122248020680502006e-08,1.028557804008527976e-08,1.146585798407057859e-08,1.436090300065695763e-08,1.345127610623170028e-08,1.477229916023904851e-08,1.794961637617674381e-08,1.815537954997463583e-08,1.673100211056339593e-08,2.177338008901200030e-08,2.177451802197181956e-08,2.252874062829579351e-08,2.156499829306898019e-08,2.246040325269688436e-08
1.089963711760447151e-08,1.427485827651408580e-08,1.250546256428609692e-08,1.551715537875620770e-08,1.360693299967745664e-08,1.929444306897836250e-08,1.821577918899172975e-08,1.933453406325535288e-08,2.166006418502623164e-08,2.466731773411977634e-08,2.495331678644903480e-08,2.538377328497781085e-08,2.778366953645854272e-08,2.956161757685289653e-08,2.666299580592103550e-08,3.055031706602603698e-08,3.669860509334369228e-08
1.313008576921973094e-08,1.541490620549006648e-08,1.642549236901355416e-08,1.709199872362354016e-08,2.205408595937799501e-08,2.050246192060767688e-08,2.063540693125160963e-08,2.086648213845667838e-08,2.728540575606791104e-08,2.902560329596777799e-08,4.096342256660299965e-08,3.131725222246543740e-08,4.090766129652738759e-08,3.966826302523709127e-08,4.468519327651162071e-08,4.717655718053032301e-08,3.824537067187378797e-08
1.881839124725830652e-08,2.254242212851385689e-08,2.234957527711654489e-08,2.466363687208022581e-08,2.744828217814804812e-08,4.001943454404617358e-08,3.210196421520644868e-08,3.305271364863778287e-08,3.812797542768765197e-08,5.037568560235839080e-08,6.199882007590207351e-08,5.354201939330521057e-08,7.288960345870996670e-08,8.264801077189511274e-08,7.942262321936883262e-08,8.748205093053611359e-08,7.263877561477762209e-08
2.001057903992130250e-08,2.770811721278152534e-08,3.721959827081820066e-08,3.572794658214316926e-08,4.848801528271686551e-08,5.337191307072783191e-08,5.564243289396694521e-08,5.709688016106727196e-08,8.771035105285179729e-08,8.446618531256805446e-08,8.109949298002849053e-08,9.755867532825450881e-08,1.098643925577798674e-07,1.181310910479746491e-07,1.098796710724500098e-07,1.040564247120327087e-07,1.160545103627405083e-07
