6.934776087695038546e-09,6.851638377511652895e-09,7.718465521081967980e-09,7.195166118836820034e-09,7.303642505224222724e-09,6.930571847028481195e-09,7.393394735030906719e-09,6.552522031160825751e-09,7.265681805306581006e-09,7.252169442075516696e-09,6.833519061152141560e-09,6.692719678040800639e-09,7.731428700606314339e-09,7.583302202911726568e-09,7.242743547213082982e-09,7.638378932544308131e-09,7.732242485335416749e-09
7.374735515263019953e-09,8.920997876055325143e-09,8.237401456996471626e-09,7.613440594073497318e-09,7.606264457401105397e-09,7.450276365634743538e-09,8.594068026938919286e-09,7.593537141796453380e-09,8.222297707843145954e-09,7.793834783042602682e-09,7.671486026530293564e-09,7.612993231149366538e-09,7.678914231165766246e-09,6.758925846032030180e-09,7.967374266215172405e-09,8.228186923757820960e-09,8.650000985917319574e-09
8.677147727612582202e-09,8.836536988717798708e-09,9.740610731709921785e-09,8.098096958730827925e-09,9.335000707231643813e-09,8.311517897063416605e-09,8.574450716010554848e-09,9.250623686015483137e-09,7.764231656530908043e-09,8.040723134822176360e-09,8.363309879774775288e-09,8.154197541131368868e-09,9.881528261896587420e-09,9.042724201383646590e-09,8.357163323053251462e-09,9.406839971090752022e-09,8.840044808374556318e-09
8.625602800414766284e-09,9.410869130876975068e-09,1.018101199276525585e-08,8.745296239340665277e-09,8.382884763749196142e-09,8.955791560467393098e-09,8.746335597610176419e-09,9.024367354287701370e-09,8.180019457045001197e-09,8.313197870946425749e-09,9.074776937695098842e-09,7.923038646122187995e-09,8.870743588253621531e-09,9.230529280909639838e-09,8.587874300318770763e-09,8.716383140926681312e-09,9.189245762979059562e-09
1.044197989195732986e-08,9.616693389091746810e-09,9.135060462858930244e-09,9.233797218048859321e-09,9.357269438327483688e-09,8.646623345347588303e-09,9.520898091465357531e-09,9.994979481284652760e-09,9.690067367433369285e-09,8.709672728679001800e-09,9.282848185381935896e-09,9.247289143485417037e-09,9.507358378934277824e-09,1.103196934214433697e-08,1.049199175844898533e-08,1.115270688818160064e-08,1.083570777607176563e-08
9.859256099497720762e-09,9.929360353506281960e-09,1.164170568570507306e-08,1.097297809883308277e-08,1.018655069804175202e-08,1.116762904363814185e-08,1.084083568203312077e-08,1.053854208258180528e-08,9.955063059540550525e-09,1.102409303089289286e-08,1.042170393896699026e-08,1.055149407055152811e-08,1.116172879203209725e-08,1.188527333507291257e-08,1.094939854052251010e-08,1.298342648201603782e-08,1.273913007064993539e-08
1.196263417257557805e-08,1.305145469226113796e-08,1.084424016874971020e-08,1.141859908284052114e-08,1.313547738153930219e-08,1.370164178437783470e-08,1.461832891201232469e-08,1.251861143548283353e-08,1.454815826917261951e-08,1.194438091220011988e-08,1.489538173602415039e-08,1.291606670751658633e-08,1.397486496802520708e-08,1.600439131309150589e-08,1.362727467295712824e-08,1.599538935684351948e-08,1.559214592456439895e-08
1.881365992275084641e-08,1.639838635731065756e-08,1.555107040866647454e-08,1.676655312349981607e-08,1.508870330871044350e-08,1.764502035342304796e-08,1.674135606831851950e-08,1.612299801202469565e-08,1.669637624629337828e-08,1.908818420653694145e-08,2.084227473234644009e-08,1.885767909135746257e-08,1.971221403352212975e-08,2.083725647933041808e-08,2.081181557144360978e-08,2.034876179895286803e-08,2.592527301045558598e-08
1.652138363960855700e-08,1.403174958228931111e-08,1.453463146952504077e-08,1.631093493078781828e-08,1.523303565268535295e-08,1.741848931367427457e-08,1.784142136382551518e-08,1.791855496773230992e-08,1.740033697396752616e-08,1.896875194373401305e-08,2.003974478844883385e-08,2.219528923227899039e-08,2.075566355810871108e-08,2.050078515550178628e-08,2.338474372706846313e-08,2.484506831915754143e-08,2.618848790983950297e-08
1.940694174608809758e-08,2.047785555412797792e-08,2.131908526344070431e-08,2.319427036324238911e-08,2.415687484583748141e-08,2.068006256090451338e-08,2.411916380032198010e-08,2.690761666531165861e-08,2.364215645691118860e-08,2.556158414202177664e-08,2.964750518159840406e-08,2.952556054712713278e-08,3.063739418757260547e-08,2.979279040468870143e-08,3.296969409971606548e-08,3.508270593319892145e-08,3.214293571274025536e-08
2.030086669717218030e-08,2.257682515084858866e-08,2.213932960908316420e-08,2.556351065270293524e-08,2.244046039286040457e-08,2.419560778421024157e-08,2.181563420285288386e-08,2.540593087271506580e-08,2.695736569352490649e-08,2.942995851772715004e-08,3.337390378028381662e-08,3.440244398000512077e-08,3.920106171086622462e-08,4.389187368725647003e-08,4.932925723497931128e-08,4.946436368144693829e-08,4.290121767503760128e-08
2.466048725199414495e-08,2.837508953083468403e-08,2.605044440709812390e-08,3.249427372467545534e-08,2.925442171054612485e-08,3.477096295503090726e-08,3.277887878079741201e-08,3.855090882863847143e-08,3.721678094603701457e-08,4.776771439935173816e-08,4.164838724800045165e-08,4.701762880904063941e-08,4.976865247911848444e-08,5.326704342148622195e-08,6.679403825718411213e-08,5.986994346543757459e-08,6.746400222216662575e-08
3.776384828914837916e-08,3.903469221423601951e-08,3.972310560439049436e-08,4.471134592822026440e-08,5.160559936606452530e-08,4.947469228690576813e-08,5.108224828051847894e-08,5.853512729226291346e-08,7.364971191091298080e-08,8.168323017219468257e-08,6.839378414491875526e-08,8.976526867092380215e-08,8.661421889310471756e-08,1.228311997877962312e-07,7.425175334548835384e-08,1.061183599965146513e-07,1.063546438889269491e-07
4.175179691555825355e-08,4.582042062967687241e-08,4.450167650985227183e-08,5.378608131698407314e-08,4.958250648328814372e-08,5.746845580035119958e-08,6.142752816154369606e-08,6.572147947049427134e-08,7.004640235876971830e-08,8.721285591100687572e-08,9.632179667395308860e-08,1.048264989734085375e-07,9.884082229946419149e-08,1.171428627966601836e-07,1.374626975255374670e-07,1.392255112292820830e-07,1.385260193369168262e-07
